Student_Name,Gender,Grade_Level,Section,Payment_Status,Favorite_Subject,Extracurricular,Tuition_Fee,Monthly_Allowance,Current_GPA,Enrollment_Date,Date_of_Birth
Matthew Reid,Female,Grade 9,D-Ruby,Late Payment,Literature,Arts Club,15540.02,780,82.55,2025-10-30,2009-03-15
Richard Blackwell,Male,Grade 6,B-Emerald,Scholarship,Science,Varsity,21017.86,2235,78.49,2025-11-07,2015-06-01
Debra Williams,Female,Grade 12,D-Ruby,Scholarship,Mathematics,Glee Club,32316.77,4324,75.43,2026-03-26,2007-11-04
Roger Thomas,Female,Grade 7,D-Ruby,Late Payment,History,Glee Club,21199.03,2882,98.1,2025-11-07,2013-10-22
David Valdez,Female,Grade 1,A-Diamond,Scholarship,Computer Science,Varsity,33021.46,606,91.17,2025-11-08,2018-10-08
Kathleen Peters,Female,Grade 6,A-Diamond,Scholarship,History,Glee Club,24986.08,686,88.33,2025-09-29,2009-03-31
Jacqueline Love,Female,Grade 3,A-Diamond,Installment,Computer Science,None,31232.16,2668,97.99,2025-09-21,2011-03-04
Jon Gibson,Male,Grade 9,A-Diamond,Scholarship,History,Glee Club,15842.78,1625,85.44,2025-12-11,2018-01-22
John Oneill,Female,Grade 7,B-Emerald,Scholarship,Mathematics,Arts Club,20445.85,707,85.73,2026-04-06,2017-10-04
William Campbell,Male,Grade 9,B-Emerald,Late Payment,Literature,Student Council,38096.98,4627,77.04,2026-05-06,2010-11-08
Larry Pearson,Female,Grade 6,C-Sapphire,Late Payment,Mathematics,Student Council,42742.06,969,75.24,2026-01-19,2012-07-24
Annette Butler,Male,Grade 9,C-Sapphire,Full Payment,Mathematics,Glee Club,20029.79,2959,80.66,2026-04-10,2010-05-02
Sean Baker,Female,Grade 9,D-Ruby,Late Payment,Literature,Varsity,23379.03,1719,80.81,2026-02-07,2017-04-03
Barbara Lee,Male,Grade 9,A-Diamond,Installment,Science,Arts Club,30378.68,3878,94.13,2025-07-26,2017-10-08
Edwin Mata,Female,Grade 12,C-Sapphire,Scholarship,Science,None,35182.83,3867,77.98,2025-10-04,2017-09-08
Adam Meyer,Non-binary,Grade 3,D-Ruby,Late Payment,History,Glee Club,16857.4,4066,84.3,2026-03-02,2019-11-16
William Lee DVM,Female,Grade 1,B-Emerald,Late Payment,Science,Glee Club,18306.11,3455,75.84,2025-09-12,2016-04-09
Samantha Benson,Non-binary,Grade 7,A-Diamond,Full Payment,History,Varsity,24141.74,4397,79.76,2025-05-22,2011-05-09
Michael Wilkinson,Male,Grade 9,D-Ruby,Scholarship,History,Varsity,31218.15,1263,87.21,2025-08-12,2010-02-23
Vanessa Rios,Female,Grade 6,A-Diamond,Scholarship,Computer Science,Glee Club,34681.65,3978,92.53,2026-03-10,2013-01-12
Bobby Kane,Male,Grade 1,A-Diamond,Late Payment,Science,Glee Club,42921.01,3252,79.03,2025-11-17,2013-02-24
Brenda Bell,Male,Grade 6,A-Diamond,Late Payment,History,Arts Club,27112.11,4293,94.15,2026-05-04,2015-12-29
Jessica Morris,Female,Grade 11,C-Sapphire,Installment,Mathematics,Arts Club,41870.51,2093,76.78,2025-08-24,2015-09-09
Lorraine Clark,Non-binary,Grade 7,A-Diamond,Installment,Science,Glee Club,20802.08,2745,94.47,2025-10-27,2012-03-04
Michelle Riley,Male,Grade 1,C-Sapphire,Scholarship,History,Varsity,39452.01,877,84.36,2025-11-02,2018-05-16
Patricia Campbell,Male,Grade 9,D-Ruby,Scholarship,Computer Science,Glee Club,33822.59,4954,95.2,2025-11-21,2009-02-13
Julian Lopez,Female,Grade 11,C-Sapphire,Late Payment,History,Arts Club,40222.19,3806,93.8,2025-10-02,2011-01-14
Brian Reed,Male,Grade 6,B-Emerald,Full Payment,Mathematics,Student Council,24322.25,4140,85.98,2025-11-02,2019-02-13
Wendy Clark,Male,Grade 9,C-Sapphire,Full Payment,Mathematics,Student Council,22504.06,1978,96.53,2026-03-14,2013-10-16
Joseph Solis,Male,Grade 12,A-Diamond,Scholarship,Literature,Arts Club,17401.95,1007,77.98,2025-09-21,2008-08-04
Wayne Russo,Female,Grade 1,C-Sapphire,Full Payment,Literature,Arts Club,15689.23,3099,79.49,2025-09-01,2009-03-10
Mario Gutierrez,Female,Grade 3,A-Diamond,Full Payment,Science,None,18546.24,3277,81.87,2025-06-20,2012-06-23
Rebecca Howard,Non-binary,Grade 9,D-Ruby,Full Payment,History,Varsity,21882.23,2900,89.05,2025-08-23,2017-10-22
Paul Garza,Female,Grade 11,B-Emerald,Scholarship,Literature,Arts Club,42035.85,4700,77.93,2025-09-30,2017-11-06
Tyler Tran,Female,Grade 3,C-Sapphire,Full Payment,Literature,Arts Club,20423.95,1365,79.46,2025-06-20,2009-08-31
Diana Farrell,Non-binary,Grade 1,C-Sapphire,Full Payment,History,Varsity,38256.83,3018,91.73,2026-04-23,2010-03-08
Laura Barker,Female,Grade 3,D-Ruby,Scholarship,Computer Science,None,21957.45,2838,76.1,2025-11-01,2016-09-16
Shannon Brown,Male,Grade 9,D-Ruby,Scholarship,History,Varsity,18145.92,2769,85.21,2025-07-10,2014-04-30
Colton Sparks,Female,Grade 6,D-Ruby,Scholarship,Computer Science,Glee Club,35100.65,4942,83.35,2026-02-19,2013-08-21
Jennifer Sanchez,Non-binary,Grade 1,A-Diamond,Installment,Literature,Varsity,21200.97,4177,88.3,2025-11-02,2020-01-05
Alec Bush,Non-binary,Grade 7,B-Emerald,Late Payment,Literature,Arts Club,21893.51,1134,85.14,2026-01-05,2009-05-07
Melissa Alexander,Female,Grade 12,A-Diamond,Late Payment,Computer Science,Varsity,35027.44,554,89.85,2026-04-25,2013-04-12
John Palmer MD,Female,Grade 3,C-Sapphire,Late Payment,Computer Science,Student Council,33603.51,4007,85.46,2025-06-11,2019-09-06
Erin Simpson,Male,Grade 12,D-Ruby,Scholarship,Literature,Arts Club,21062.45,2763,91.75,2025-09-20,2010-03-30
David Barnett,Non-binary,Grade 9,B-Emerald,Scholarship,Mathematics,Glee Club,42538.12,3710,89.48,2026-04-01,2018-04-06
John Palmer,Male,Grade 1,A-Diamond,Installment,Science,None,44900.38,4631,88.68,2025-09-22,2013-04-24
Luke Gutierrez,Non-binary,Grade 11,A-Diamond,Full Payment,Literature,Glee Club,42311.08,854,87.98,2026-03-03,2011-11-06
Walter Allen,Non-binary,Grade 3,A-Diamond,Installment,Literature,Student Council,22592.82,4080,88.95,2026-02-16,2010-04-01
Andrew Holmes,Female,Grade 6,A-Diamond,Scholarship,Science,Varsity,18117.74,4575,87.07,2025-06-18,2018-10-02
James Wall,Non-binary,Grade 12,B-Emerald,Installment,Mathematics,Arts Club,42350.42,4543,96.49,2025-10-28,2011-08-12
Cindy Nelson,Non-binary,Grade 12,C-Sapphire,Installment,Mathematics,Varsity,32334.27,1710,75.3,2026-03-14,2018-02-01
Abigail Hatfield,Female,Grade 1,B-Emerald,Full Payment,Mathematics,Arts Club,36208.57,525,95.38,2026-01-27,2018-12-17
William Mahoney,Female,Grade 9,B-Emerald,Full Payment,History,Varsity,30106.43,539,81.14,2026-04-14,2016-03-09
Kimberly Sweeney,Female,Grade 11,B-Emerald,Full Payment,Science,Arts Club,28039.96,1921,77.84,2025-05-30,2017-05-19
Paul Houston,Male,Grade 1,B-Emerald,Scholarship,History,None,18363.22,4900,89.11,2025-11-06,2017-04-13
Kenneth Gonzalez,Non-binary,Grade 1,D-Ruby,Full Payment,Literature,Glee Club,38627.74,4232,95.7,2026-03-09,2007-06-01
Joseph Navarro,Female,Grade 3,B-Emerald,Scholarship,History,Varsity,17345.57,4478,84.07,2025-09-11,2011-03-25
William Taylor,Non-binary,Grade 12,A-Diamond,Scholarship,Mathematics,Student Council,16836.69,1405,76.56,2025-07-19,2008-08-30
Edward Brown,Non-binary,Grade 3,C-Sapphire,Installment,History,Varsity,27323.71,1949,97.81,2025-12-18,2019-06-13
Cody Palmer,Female,Grade 3,B-Emerald,Late Payment,Computer Science,Glee Club,28047.64,726,90.33,2026-03-15,2017-12-14
Amber Dodson,Female,Grade 11,B-Emerald,Scholarship,Science,Student Council,38101.64,3071,92.87,2026-04-07,2014-12-27
Sandra Davis,Female,Grade 1,D-Ruby,Full Payment,Science,Glee Club,30753.14,4918,77.35,2025-08-05,2016-02-21
Mary Nichols,Non-binary,Grade 3,A-Diamond,Installment,Mathematics,Varsity,32335.8,3222,94.51,2025-08-08,2018-08-12
Charlotte Malone,Non-binary,Grade 12,A-Diamond,Installment,Science,None,41965.57,4722,85.69,2026-02-18,2016-06-13
Robert Smith,Male,Grade 6,C-Sapphire,Scholarship,Computer Science,None,19162.8,2669,78.82,2025-09-20,2012-12-29
Natalie Burns,Male,Grade 12,D-Ruby,Full Payment,Computer Science,Student Council,35728.12,2306,89.22,2025-06-26,2017-10-24
Helen Brandt,Female,Grade 12,C-Sapphire,Scholarship,History,Student Council,36619.62,4800,96.44,2026-01-31,2018-01-03
Troy Rodriguez,Non-binary,Grade 12,A-Diamond,Late Payment,Computer Science,Varsity,32632.07,2694,84.41,2025-10-29,2019-01-17
Jamie Jefferson,Female,Grade 6,C-Sapphire,Scholarship,Literature,Varsity,44960.5,964,79.35,2025-06-19,2014-07-14
Omar Mcclain,Non-binary,Grade 9,B-Emerald,Late Payment,Mathematics,Student Council,39341.34,3907,96.4,2025-09-24,2017-04-18
Christina Barnes,Female,Grade 12,C-Sapphire,Full Payment,Mathematics,None,15766.93,3759,84.27,2025-09-27,2015-05-06
Martin Diaz,Female,Grade 7,D-Ruby,Installment,Literature,Glee Club,44354.18,4854,88.35,2026-02-07,2011-06-12
Wanda Garcia,Female,Grade 7,D-Ruby,Full Payment,Computer Science,None,35233.4,979,75.04,2025-06-22,2012-09-17
Jason Wilcox,Non-binary,Grade 7,C-Sapphire,Scholarship,Mathematics,None,38245.37,877,75.6,2025-07-27,2011-09-09
Aaron Freeman,Non-binary,Grade 1,C-Sapphire,Full Payment,Computer Science,Student Council,22168.0,3796,96.96,2025-08-15,2007-12-30
John Estrada,Female,Grade 12,A-Diamond,Late Payment,Computer Science,Student Council,41406.32,1821,86.47,2025-06-29,2008-01-25
Vincent Gray,Male,Grade 6,A-Diamond,Scholarship,Literature,Glee Club,18191.02,2512,88.1,2026-04-22,2011-03-07
Jacob Newman,Female,Grade 11,A-Diamond,Scholarship,Science,Glee Club,41145.82,4212,82.31,2026-02-09,2011-03-03
Timothy Allen,Male,Grade 9,B-Emerald,Late Payment,Science,Arts Club,33194.99,718,92.05,2026-02-16,2012-08-22
Tracey Cortez,Non-binary,Grade 6,D-Ruby,Late Payment,Literature,Varsity,26388.79,4697,76.43,2025-05-19,2009-08-14
Brandon Foster,Non-binary,Grade 9,A-Diamond,Full Payment,Science,None,41846.51,4552,94.46,2026-01-08,2016-09-08
Vickie Schmidt,Female,Grade 7,B-Emerald,Scholarship,History,Varsity,31885.88,1722,79.43,2025-10-12,2017-05-28
Lisa Davis,Non-binary,Grade 11,C-Sapphire,Installment,Mathematics,Varsity,42325.2,4581,76.07,2025-08-07,2020-02-01
Abigail Martin,Male,Grade 9,C-Sapphire,Full Payment,History,Varsity,16891.84,1469,85.46,2026-01-04,2014-07-04
John Moore,Female,Grade 6,D-Ruby,Late Payment,History,Glee Club,22277.62,2161,78.39,2025-12-24,2019-06-09
Kevin Miranda,Female,Grade 12,D-Ruby,Scholarship,Mathematics,Arts Club,39643.59,1912,96.04,2026-01-03,2007-12-31
Adam Hardy,Female,Grade 7,D-Ruby,Scholarship,Literature,Varsity,43457.52,1951,90.79,2026-03-25,2019-05-02
Ronald Lee,Non-binary,Grade 7,C-Sapphire,Scholarship,Literature,Varsity,26168.2,2080,83.3,2025-10-09,2009-09-13
Theodore Hayes,Female,Grade 11,A-Diamond,Full Payment,History,Arts Club,39836.57,4439,88.58,2026-02-05,2010-07-02
Anthony Simpson,Non-binary,Grade 12,C-Sapphire,Full Payment,Science,Student Council,17403.8,3613,90.84,2025-12-10,2015-08-12
Kevin Mendoza,Male,Grade 1,A-Diamond,Installment,Literature,Glee Club,15576.1,520,94.22,2025-08-01,2010-05-22
Krystal Ferguson,Non-binary,Grade 1,A-Diamond,Installment,Mathematics,None,36334.17,1188,93.66,2025-07-12,2011-02-02
Jeffrey Lopez,Female,Grade 11,A-Diamond,Late Payment,Science,Student Council,32113.22,4088,86.87,2025-07-22,2007-05-17
Shane Williams,Male,Grade 3,D-Ruby,Scholarship,Science,Student Council,24912.44,2895,89.99,2025-10-28,2019-11-08
David Saunders,Non-binary,Grade 12,D-Ruby,Scholarship,History,Varsity,33102.52,819,84.23,2026-03-19,2014-12-09
John Smith,Male,Grade 9,D-Ruby,Late Payment,Science,Student Council,40696.26,4379,97.44,2025-11-03,2008-04-24
Gabriel Mcdonald,Male,Grade 7,A-Diamond,Full Payment,History,Varsity,28371.07,1263,93.51,2026-03-16,2017-10-28
Patricia Brown,Non-binary,Grade 1,D-Ruby,Full Payment,Computer Science,Arts Club,36903.25,2004,92.88,2025-11-20,2010-09-03
Kathryn Wilson,Male,Grade 9,B-Emerald,Installment,Computer Science,Varsity,20257.06,1746,83.16,2025-11-16,2020-01-18
Lauren Fowler,Non-binary,Grade 11,A-Diamond,Late Payment,History,Glee Club,17965.94,1423,88.11,2025-11-24,2007-06-22
Nicholas Parker,Female,Grade 9,B-Emerald,Scholarship,History,Student Council,16332.37,4229,90.26,2025-12-24,2009-12-12
Amanda Dillon,Female,Grade 3,D-Ruby,Scholarship,History,Varsity,24129.35,3101,86.33,2026-02-17,2017-03-24
Jessica Bell,Female,Grade 6,B-Emerald,Full Payment,Literature,Arts Club,25134.51,2085,76.68,2025-11-02,2010-07-12
Austin Walker,Non-binary,Grade 3,D-Ruby,Full Payment,Science,Glee Club,25153.1,4033,86.5,2025-08-27,2016-07-02
Jonathan Valentine,Male,Grade 6,C-Sapphire,Late Payment,Literature,Student Council,40467.34,4140,82.45,2025-05-24,2009-05-24
Christina Dunn,Male,Grade 6,C-Sapphire,Late Payment,Literature,None,20558.52,2477,96.4,2025-07-16,2012-06-05
Shane Davis,Female,Grade 6,B-Emerald,Full Payment,Literature,Varsity,20239.23,3518,75.9,2025-12-17,2011-09-26
Lori Huang,Male,Grade 9,D-Ruby,Late Payment,Literature,None,20935.72,2188,96.82,2025-09-20,2011-08-28
Peter Barrera,Male,Grade 7,A-Diamond,Late Payment,Science,Glee Club,44322.35,4879,78.24,2025-12-25,2013-03-02
David Peterson,Non-binary,Grade 11,D-Ruby,Installment,Science,Glee Club,29050.83,3639,95.96,2025-07-30,2007-11-04
John Anderson,Female,Grade 11,C-Sapphire,Late Payment,History,Varsity,44453.86,3753,77.0,2025-07-20,2013-04-25
Daniel Montgomery,Non-binary,Grade 7,A-Diamond,Full Payment,Science,Student Council,22076.53,857,88.77,2026-02-12,2017-08-21
Carrie James,Male,Grade 6,C-Sapphire,Scholarship,Computer Science,Glee Club,16889.09,2205,77.04,2025-08-05,2012-04-30
Brandy Noble,Male,Grade 9,D-Ruby,Scholarship,Literature,Glee Club,27139.83,2306,86.24,2026-04-24,2015-04-07
Debbie Bryan,Non-binary,Grade 9,C-Sapphire,Scholarship,Science,Varsity,36755.34,4194,98.41,2025-10-24,2013-04-19
Susan Smith,Non-binary,Grade 9,C-Sapphire,Late Payment,Science,None,44039.47,4784,83.13,2025-10-23,2019-04-21
Kristina Williams,Female,Grade 9,A-Diamond,Scholarship,Mathematics,None,39225.76,4318,90.02,2025-07-26,2015-12-02
Joe Pace,Male,Grade 12,C-Sapphire,Late Payment,Mathematics,Varsity,25547.42,1993,83.27,2025-11-16,2019-02-17
Grace Hall,Non-binary,Grade 9,C-Sapphire,Installment,Literature,None,27495.34,2253,85.63,2025-08-02,2012-12-24
Eric Hayes,Female,Grade 3,A-Diamond,Full Payment,History,Varsity,18909.59,3325,96.76,2026-03-27,2009-05-27
Kara Johnson,Male,Grade 12,C-Sapphire,Late Payment,Science,Student Council,18810.65,2542,95.25,2026-04-24,2009-07-27
Evelyn Bowen,Non-binary,Grade 3,C-Sapphire,Installment,Science,Varsity,15835.21,1697,84.77,2026-02-19,2020-03-30
Karen Mccormick,Female,Grade 6,B-Emerald,Full Payment,History,Glee Club,25013.8,3503,80.2,2025-10-13,2010-05-22
Jacqueline Potts,Male,Grade 12,D-Ruby,Scholarship,History,None,25688.42,3030,97.75,2025-08-31,2014-12-03
Shannon Sims,Female,Grade 1,D-Ruby,Late Payment,Science,Varsity,43903.43,2901,88.38,2025-09-01,2016-12-19
Cheryl Campbell,Male,Grade 9,A-Diamond,Scholarship,History,None,30598.98,1021,82.88,2026-03-19,2013-05-24
Jennifer Douglas,Non-binary,Grade 6,B-Emerald,Full Payment,History,None,32198.7,4396,94.88,2026-01-25,2015-01-04
Alec Briggs,Non-binary,Grade 3,A-Diamond,Installment,Literature,Glee Club,39623.94,3155,79.14,2025-05-28,2017-01-12
Angela Farley,Non-binary,Grade 3,A-Diamond,Installment,Computer Science,Arts Club,25015.9,3541,81.84,2025-11-06,2017-04-01
Brandon Clarke,Non-binary,Grade 3,C-Sapphire,Late Payment,Literature,Student Council,15802.57,3669,86.29,2026-03-25,2008-07-16
Roger Watson,Male,Grade 7,C-Sapphire,Installment,Science,Varsity,28981.58,4160,76.58,2025-11-02,2013-07-10
Pamela Brown,Non-binary,Grade 11,D-Ruby,Late Payment,History,Varsity,19075.57,3729,98.91,2025-10-31,2013-06-23
Steven Weaver,Non-binary,Grade 11,B-Emerald,Scholarship,Computer Science,Glee Club,33313.83,4578,79.11,2026-04-02,2019-10-12
Taylor Chavez,Non-binary,Grade 6,C-Sapphire,Late Payment,History,None,34540.99,1150,75.09,2026-04-07,2019-12-14
Tara Kramer,Non-binary,Grade 12,A-Diamond,Late Payment,Literature,Varsity,20023.29,2527,96.4,2025-07-29,2012-12-20
Carlos Taylor,Male,Grade 11,B-Emerald,Late Payment,Mathematics,Varsity,41592.95,1754,77.76,2026-05-05,2018-03-14
Autumn Pugh,Non-binary,Grade 12,A-Diamond,Installment,History,None,33895.01,2833,98.14,2025-06-25,2007-08-10
James Price,Female,Grade 11,A-Diamond,Installment,Science,Varsity,43389.1,1296,85.61,2025-09-27,2008-06-14
Vanessa Guerrero,Female,Grade 9,B-Emerald,Full Payment,History,None,27675.02,2035,80.02,2025-11-17,2016-09-30
Stephanie Williams,Non-binary,Grade 6,C-Sapphire,Full Payment,Computer Science,Arts Club,43348.68,5000,96.39,2025-11-21,2017-11-19
Tommy Rodriguez,Female,Grade 3,B-Emerald,Late Payment,Literature,Varsity,24137.2,833,79.57,2025-06-25,2010-01-28
Chad White,Female,Grade 6,D-Ruby,Scholarship,Computer Science,Student Council,28951.03,829,96.23,2025-07-13,2019-09-07
Heather Cole,Male,Grade 3,D-Ruby,Full Payment,Science,Varsity,44122.77,2388,92.29,2026-01-23,2015-09-17
Michelle Wilson,Non-binary,Grade 12,D-Ruby,Scholarship,Mathematics,None,15711.09,2495,86.87,2026-01-09,2015-04-15
Maurice Shields,Non-binary,Grade 12,C-Sapphire,Scholarship,Mathematics,Student Council,40117.98,2581,97.85,2025-09-13,2013-09-15
Margaret Coleman,Male,Grade 1,B-Emerald,Scholarship,History,Varsity,37777.69,3567,91.75,2026-04-30,2012-11-07
Brian Mcclure,Male,Grade 7,A-Diamond,Installment,Mathematics,Varsity,23892.96,2381,81.86,2026-04-02,2009-08-25
Wendy Herrera,Female,Grade 7,D-Ruby,Installment,Mathematics,Arts Club,16476.62,4457,90.16,2025-09-12,2009-09-29
Veronica Lane,Female,Grade 1,C-Sapphire,Full Payment,Computer Science,Varsity,19995.81,1078,76.45,2025-12-30,2007-07-25
Daniel Martinez,Non-binary,Grade 9,C-Sapphire,Late Payment,Literature,None,27535.73,1386,75.59,2026-02-27,2009-11-30
Teresa Wolf,Female,Grade 11,B-Emerald,Late Payment,Computer Science,None,37666.76,1140,81.77,2026-03-16,2010-01-06
Samantha Glover,Non-binary,Grade 6,B-Emerald,Late Payment,Science,Arts Club,28865.45,2703,87.14,2025-10-22,2015-09-28
John Camacho,Female,Grade 3,D-Ruby,Late Payment,Mathematics,Glee Club,26389.18,2033,79.88,2025-06-28,2012-01-28
Trevor Cross,Male,Grade 3,A-Diamond,Late Payment,History,Student Council,38764.36,1794,91.21,2026-02-10,2018-04-04
Donald Rush,Female,Grade 1,D-Ruby,Full Payment,Computer Science,Varsity,16300.68,1531,92.45,2025-12-17,2009-01-27
Paul Bell,Non-binary,Grade 12,C-Sapphire,Full Payment,Mathematics,Arts Club,24029.47,1132,98.67,2025-09-07,2014-02-25
Laura Horton,Female,Grade 3,C-Sapphire,Late Payment,Mathematics,Student Council,40848.75,4564,92.58,2026-01-02,2017-12-19
Aaron Wilson,Male,Grade 11,A-Diamond,Installment,Mathematics,Varsity,43148.3,1749,97.21,2025-08-24,2017-08-03
Andrew Nguyen MD,Male,Grade 12,B-Emerald,Late Payment,History,Varsity,27053.19,3438,90.21,2025-05-14,2016-02-13
Sean Chambers,Non-binary,Grade 3,C-Sapphire,Late Payment,Computer Science,None,17651.81,1213,83.97,2025-09-13,2013-02-21
Gary Farley,Male,Grade 1,B-Emerald,Late Payment,Computer Science,Arts Club,26500.39,4971,94.22,2025-12-17,2012-05-05
Ashley Brown,Female,Grade 11,A-Diamond,Scholarship,Computer Science,Arts Club,17754.0,3655,93.28,2025-07-11,2010-01-31
Angela Pham,Male,Grade 3,C-Sapphire,Late Payment,Literature,None,20709.98,4893,85.39,2026-01-20,2013-10-14
Robert Young,Female,Grade 6,A-Diamond,Full Payment,Computer Science,Glee Club,35392.91,1184,84.64,2025-05-08,2011-01-27
Kristine Montes,Male,Grade 3,B-Emerald,Full Payment,Science,Varsity,28993.85,3722,81.03,2025-09-09,2013-12-29
Benjamin Johnston,Male,Grade 9,B-Emerald,Scholarship,History,Student Council,17246.31,1966,91.56,2026-01-20,2010-05-05
Sandra Taylor,Non-binary,Grade 11,B-Emerald,Full Payment,Literature,Student Council,23447.75,3173,80.32,2025-11-10,2013-05-02
Hailey Wood,Male,Grade 11,C-Sapphire,Late Payment,Mathematics,None,30117.68,1777,81.08,2025-09-16,2008-08-08
Wendy Lynch,Non-binary,Grade 3,A-Diamond,Scholarship,Literature,Varsity,32865.09,1231,95.02,2025-08-31,2008-04-08
Joseph Ortiz,Female,Grade 7,B-Emerald,Full Payment,History,None,42404.25,909,85.32,2026-04-22,2013-12-04
Gina Russell,Female,Grade 6,B-Emerald,Scholarship,Mathematics,None,44107.93,4997,92.75,2026-02-14,2012-06-21
Brian Bennett,Non-binary,Grade 12,A-Diamond,Installment,Science,None,33343.18,1026,97.9,2025-06-11,2008-12-21
Brian George,Non-binary,Grade 6,D-Ruby,Scholarship,Science,Arts Club,41464.49,2754,90.86,2026-01-13,2011-02-19
Sandra Weber,Male,Grade 9,C-Sapphire,Late Payment,Science,Varsity,31043.61,2404,88.41,2026-02-01,2011-09-02
Luke Shelton,Male,Grade 7,A-Diamond,Full Payment,Science,Varsity,16959.83,4795,93.82,2025-08-13,2018-03-02
Andrew Jones,Female,Grade 3,B-Emerald,Installment,Literature,Glee Club,18086.07,1496,90.69,2026-01-24,2013-05-17
Brandi Johnson,Female,Grade 9,B-Emerald,Full Payment,Computer Science,Glee Club,41920.41,3523,77.44,2026-02-20,2016-01-06
Jamie Jackson,Female,Grade 1,B-Emerald,Installment,Science,Student Council,28265.27,2921,91.28,2025-11-15,2013-01-24
Steven Morgan,Female,Grade 3,C-Sapphire,Installment,Science,None,30927.92,1197,82.57,2025-12-06,2016-01-24
Rodney Holloway,Female,Grade 7,B-Emerald,Scholarship,Science,None,18874.78,3747,84.19,2025-12-25,2019-03-31
Patricia Eaton,Female,Grade 9,D-Ruby,Late Payment,Literature,None,26080.33,2874,81.81,2026-03-04,2013-04-04
Michelle Stokes,Male,Grade 11,C-Sapphire,Late Payment,Computer Science,Arts Club,17371.56,1318,86.76,2025-06-23,2009-02-13
Mallory Foster,Female,Grade 6,D-Ruby,Full Payment,Science,Glee Club,44984.9,2630,81.34,2025-10-03,2008-06-18
Brandon Andrews,Non-binary,Grade 9,D-Ruby,Scholarship,History,Varsity,40333.7,2096,78.81,2026-03-18,2016-05-23
Connie Smith,Male,Grade 7,D-Ruby,Installment,Literature,None,32939.5,4675,95.52,2025-05-30,2008-12-14
Oscar Gregory,Non-binary,Grade 1,A-Diamond,Full Payment,Literature,Student Council,17279.47,3018,79.66,2026-03-28,2017-07-10
Courtney Sanchez,Non-binary,Grade 3,B-Emerald,Installment,Computer Science,Arts Club,42993.32,1999,97.7,2026-02-14,2009-06-03
Katie White,Male,Grade 3,B-Emerald,Late Payment,History,Varsity,32473.51,1425,78.39,2025-10-24,2019-07-14
Lisa Mcintyre,Male,Grade 12,A-Diamond,Late Payment,Literature,Arts Club,40358.58,4572,79.91,2026-01-20,2017-02-23
Steven Jackson,Male,Grade 7,C-Sapphire,Full Payment,Science,Student Council,15451.08,3439,81.51,2025-06-22,2011-10-06
Luis Roberts,Female,Grade 1,C-Sapphire,Late Payment,History,None,30299.82,574,95.92,2025-09-14,2019-01-09
Anthony Anderson,Non-binary,Grade 7,D-Ruby,Late Payment,Mathematics,Student Council,33947.01,3000,86.92,2025-06-08,2008-03-10
Tina Bell,Male,Grade 6,A-Diamond,Late Payment,Mathematics,Glee Club,30172.45,2302,81.46,2025-12-01,2016-03-10
Gary Black,Non-binary,Grade 11,A-Diamond,Full Payment,Mathematics,None,18804.07,2555,77.56,2025-06-25,2009-12-26
Angela Price MD,Male,Grade 1,A-Diamond,Scholarship,Science,None,18731.04,1592,78.33,2025-10-20,2014-09-22
Danielle Robinson,Non-binary,Grade 12,A-Diamond,Scholarship,Science,None,15837.67,3733,90.96,2025-09-18,2019-11-25
Travis Thomas,Non-binary,Grade 6,B-Emerald,Full Payment,Computer Science,Student Council,24354.1,4948,92.15,2025-09-11,2019-03-23
Justin Harris,Female,Grade 6,D-Ruby,Late Payment,Mathematics,None,30407.54,2672,78.02,2026-02-09,2017-05-14
Michael Moore,Male,Grade 7,B-Emerald,Full Payment,Mathematics,None,16890.71,2969,77.31,2025-09-16,2011-03-14
Megan Taylor,Male,Grade 11,D-Ruby,Installment,Mathematics,Varsity,38417.78,803,83.29,2025-10-23,2011-08-18
Susan Meyers,Male,Grade 7,C-Sapphire,Installment,Mathematics,Glee Club,19515.6,3626,89.82,2026-04-01,2019-02-10
Gregory Sutton,Male,Grade 1,B-Emerald,Scholarship,Computer Science,Varsity,31466.61,2396,92.95,2025-06-30,2014-10-21
Natasha Thomas,Non-binary,Grade 6,D-Ruby,Late Payment,Literature,Varsity,18208.3,4385,85.52,2025-07-03,2009-12-19
Robert Hernandez,Non-binary,Grade 7,C-Sapphire,Late Payment,Mathematics,None,41535.21,1101,96.72,2026-04-14,2009-07-29
Kelsey Thompson,Female,Grade 6,B-Emerald,Late Payment,Literature,Arts Club,29405.4,874,93.15,2025-06-18,2007-12-22
Kevin Williams,Non-binary,Grade 6,A-Diamond,Late Payment,Mathematics,Glee Club,38628.03,4817,77.3,2025-07-22,2016-11-12
Rebecca Snow,Female,Grade 7,A-Diamond,Full Payment,Computer Science,Varsity,17937.54,2451,94.97,2025-06-21,2009-07-25
Sarah Jones,Male,Grade 7,A-Diamond,Scholarship,Mathematics,None,23841.83,3989,84.9,2025-07-06,2015-07-24
Jeremy Parker,Female,Grade 1,C-Sapphire,Scholarship,Science,Varsity,38701.37,994,97.88,2025-11-28,2018-06-25
Michelle Howell,Male,Grade 3,C-Sapphire,Late Payment,History,None,39919.01,1145,81.54,2025-09-25,2012-06-01
Christopher Peterson,Non-binary,Grade 6,A-Diamond,Full Payment,Mathematics,Student Council,21073.51,2699,77.2,2025-11-22,2017-05-03
